sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.11	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.91	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.04	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.85	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.17	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.36	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Patescibacteriota; c__UBA1384
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	2.16	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.77	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__Myxococcia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__UBA727
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.06	Root; d__Bacteria; p__Armatimonadota; c__SYMT01
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.74	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.97	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.23	Root; d__Bacteria; p__Bdellovibrionota_C; c__UBA2361
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.51	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.28	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.45	Root; d__Bacteria; p__Omnitrophota; c__Gorgyraeia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.57	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.08	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.58	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia; o__Woesearchaeales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.79	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	6.34	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.79	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.68	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Micavibrionales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.85	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.6	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Xanthomonadales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	6.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.4	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Steroidobacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.08	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Pseudomonadales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.76	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	10.49	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	1.4	Root; d__Bacteria; p__Actinomycetota; c__UBA4738; o__UBA4738
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	5.33	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	3.14	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	6.81	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.85	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales
Caro-Soil-SIP-pooled__JS71_10__27664__L1_S34_L005_R1_001	0.54	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__S36-B12
