sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.05	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota_A; c__UBA796
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.41	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.53	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.49	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.34	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.62	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.79	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.74	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.28	Root; d__Bacteria; p__Patescibacteriota; c__UBA1384
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.06	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.11	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.36	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.42	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.57	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Krumholzibacteriota; c__Krumholzibacteriia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.4	Root; d__Bacteria; p__Bdellovibrionota_C; c__UBA2361
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.28	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.4	Root; d__Bacteria; p__Fibrobacterota; c__Fibrobacteria
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.23	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.91	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Chitinophagales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.45	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.34	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Cytophagales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.62	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__AKYH767-A
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	1.02	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Gemmatales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	2.54	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Pirellulales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.17	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Isosphaerales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.11	Root; d__Bacteria; p__Planctomycetota; c__Planctomycetia; o__Planctomycetales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.8	Root; d__Bacteria; p__Planctomycetota; c__Phycisphaerae; o__Phycisphaerales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.57	Root; d__Bacteria; p__Planctomycetota; c__UBA1135; o__UBA1135
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	4.97	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.62	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
Caro-Soil-SIP-pooled__JSP1_4__27648__L1_S28_L005_R1_001	0.11	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
