sample	coverage	taxonomy
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.23	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	3.43	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.51	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.87	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.23	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.28	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.68	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.11	Root; d__Bacteria; p__Armatimonadota; c__SYMT01
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	1.26	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	2.04	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__JRP1_1__27645__L1_S25_L005_R1_001	0.06	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
