sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Planctomycetota; c__SZUA-567
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Planctomycetota; c__MHYJ01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.28	Root; d__Bacteria; p__Planctomycetota; c__J058
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.37	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.55	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.08	Root; d__Bacteria; p__Gemmatimonadota; c__Gemmatimonadetes
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.31	Root; d__Bacteria; p__Chloroflexota; c__Limnocylindria
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.2	Root; d__Bacteria; p__Chloroflexota; c__Chloroflexia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.28	Root; d__Bacteria; p__Chloroflexota; c__UBA6077
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.33	Root; d__Bacteria; p__Chloroflexota; c__Dehalococcoidia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.67	Root; d__Bacteria; p__Chloroflexota; c__Anaerolineae
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.4	Root; d__Bacteria; p__Chloroflexota; c__UBA5177
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.4	Root; d__Bacteria; p__Chloroflexota; c__Dormibacteria
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.26	Root; d__Bacteria; p__Chloroflexota; c__UBA11872
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	2.32	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.77	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.7	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.28	Root; d__Bacteria; p__Armatimonadota; c__Abditibacteriia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Armatimonadota; c__DTGP01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.57	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.45	Root; d__Bacteria; p__Cyanobacteriota; c__Cyanobacteriia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Omnitrophota; c__Gorgyraeia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.62	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Fibrobacterota; c__Fibrobacteria
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Methylomirabilota; c__Methylomirabilia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.91	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.4	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.36	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.34	Root; d__Bacteria; p__Bdellovibrionota_B; c__Oligoflexia
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.21	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria; o__Nitrososphaerales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.24	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Gaiellales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	10.2	Root; d__Bacteria; p__Actinomycetota; c__Thermoleophilia; o__Solirubrobacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	4.42	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.35	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Propionibacteriales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	4.52	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Mycobacteriales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.77	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptomycetales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.32	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__S36-B12
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.38	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__JAFAQI01
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Streptosporangiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	3.2	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__IMCC26256
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	11.81	Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.19	Root; d__Bacteria; p__Actinomycetota; c__UBA4738; o__UBA4738
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	4.59	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.13	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Fen-336
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.57	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Terriglobales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia; o__Bryobacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.11	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Gp7-AA8
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.94	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__Multivoradales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.29	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia; o__UBA5066
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__Pyrinomonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.4	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia; o__UBA7656
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	3.24	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__Saccharimonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.51	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia; o__UBA4664
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia; o__Levybacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.71	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia; o__Phycocordibacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.68	Root; d__Bacteria; p__Patescibacteriota; c__Doudnabacteria; o__UBA920
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.23	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Sphingomonadales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	6.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.15	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__ATCC43930
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	1.01	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Caulobacterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.74	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhodospirillales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.06	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Elsterales
Caro-Soil-SIP-pooled__LS71_22__27676__L1_S46_L005_R1_001	0.57	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rickettsiales
