sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.9	Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.55	Root; d__Bacteria; p__Acidobacteriota; c__Terriglobia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.91	Root; d__Bacteria; p__Acidobacteriota; c__Blastocatellia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.95	Root; d__Bacteria; p__Acidobacteriota; c__Thermoanaerobaculia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.13	Root; d__Bacteria; p__Patescibacteriota; c__Microgenomatia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.81	Root; d__Bacteria; p__Patescibacteriota; c__Minisyncoccia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.28	Root; d__Bacteria; p__Patescibacteriota; c__Saccharimonadia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.45	Root; d__Bacteria; p__Patescibacteriota; c__Gracilibacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.67	Root; d__Bacteria; p__Myxococcota_A; c__Polyangia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Myxococcota_A; c__UBA796
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	3.24	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.62	Root; d__Bacteria; p__Bacteroidota; c__Ignavibacteria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.43	Root; d__Bacteria; p__Elusimicrobiota; c__Elusimicrobia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.56	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.11	Root; d__Bacteria; p__Armatimonadota; c__DTGP01
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.13	Root; d__Bacteria; p__Bacillota; c__Bacilli
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	1.93	Root; d__Bacteria; p__Bacillota; c__Clostridia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.17	Root; d__Bacteria; p__Nitrospirota; c__Nitrospiria
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.06	Root; d__Bacteria; p__Myxococcota; c__UBA727
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	2.83	Root; d__Bacteria; p__Desulfobacterota; c__Binatia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.62	Root; d__Bacteria; p__Cyanobacteriota; c__Sericytochromatia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.23	Root; d__Bacteria; p__Cyanobacteriota; c__Vampirovibrionia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.29	Root; d__Bacteria; p__Omnitrophota; c__Gorgyraeia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.23	Root; d__Bacteria; p__Bdellovibrionota; c__UBA1018
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.28	Root; d__Bacteria; p__Bdellovibrionota; c__Bdellovibrionia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Sumerlaeota; c__Sumerlaeia
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Eisenbacteria; c__RBG-16-71-46
Caro-Soil-SIP-pooled__LSP1_16__27670__L1_S40_L005_R1_001	0.51	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
