sample	coverage	taxonomy
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	3.4	Root; d__Archaea
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	10.69	Root; d__Bacteria
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	2.72	Root; d__Archaea; p__Thermoproteota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.69	Root; d__Archaea; p__Thermoplasmatota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	3.38	Root; d__Bacteria; p__Actinomycetota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	2.63	Root; d__Bacteria; p__Acidobacteriota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	2.16	Root; d__Bacteria; p__Pseudomonadota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	1.6	Root; d__Bacteria; p__Planctomycetota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	1.37	Root; d__Bacteria; p__Chloroflexota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	1.13	Root; d__Bacteria; p__Myxococcota_A
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.68	Root; d__Bacteria; p__Bacteroidota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.62	Root; d__Bacteria; p__Verrucomicrobiota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	2.94	Root; d__Bacteria; p__Patescibacteriota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	1.27	Root; d__Bacteria; p__Bdellovibrionota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	1.98	Root; d__Bacteria; p__Bacillota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	1.45	Root; d__Bacteria; p__Myxococcota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	2.32	Root; d__Bacteria; p__Armatimonadota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.45	Root; d__Bacteria; p__Cyanobacteriota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.89	Root; d__Bacteria; p__Desulfobacterota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.17	Root; d__Bacteria; p__Nitrospirota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.11	Root; d__Bacteria; p__Omnitrophota
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.05	Root; d__Archaea; p__Thermoproteota; c__Nitrososphaeria
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.21	Root; d__Archaea; p__Nanobdellota; c__Nanobdellia
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.05	Root; d__Archaea; p__Thermoplasmatota; c__E2
Caro-Soil-SIP-pooled__LRP1_13__27667__L1_S37_L005_R1_001	0.37	Root; d__Archaea; p__Thermoplasmatota; c__Thermoplasmata
