localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2025-07-08 18:45:00\r\n',61.8,5,333.5590551,71.5,0,0.311437444
2025-07-08 19:00:00\r\n',61.3,4,322.2519685,72,0,0.315589078
2025-07-08 19:15:00\r\n',59.8,2,333.5590551,75,0,0.317544001
2025-07-08 19:30:00\r\n',58.3,1,332.1456693,78,0,0.317835771
2025-07-08 19:45:00\r\n',56.8,3,319.4251969,81,0,0.318056221
2025-07-08 20:00:00\r\n',56.3,2,326.492126,82,0,0.318164
2025-07-08 20:30:00\r\n',55.4,3,346.2795276,84,0,0.318227023
2025-07-08 20:45:00\r\n',53.6,3,325.0787402,88.5,0,0.318227023
2025-07-08 21:30:00\r\n',53.5,6,337.7992126,90.5,0,0.318227023
2025-07-08 21:45:00\r\n',53.5,6,337.7992126,91,0,0.318231429
2025-07-08 22:30:00\r\n',53.5,3,330.7322835,92.5,0,0.318231429
2025-07-08 22:45:00\r\n',53.5,1,322.2519685,93,0,0.318231429
2025-07-08 23:00:00\r\n',53.3,2,323.6653543,92.5,0,0.318231429
2025-07-08 23:15:00\r\n',52.8,5,284.0905512,93,0,0.318231429
2025-07-09 00:00:00\r\n',53.2,3,288.3307087,94,0,0
2025-07-09 00:15:00\r\n',53.2,5,316.5984252,94.5,0,0.000215197
2025-07-09 00:30:00\r\n',53.2,4,9.893700787,94.5,0,0.000251462
2025-07-09 01:00:00\r\n',52.8,5,330.7322835,94.5,0,0.0003236
2025-07-09 01:15:00\r\n',52.7,2,318.011811,94,0,0.000354144
2025-07-09 01:30:00\r\n',53.1,5,313.7716535,94,0,0.000386548
2025-07-09 02:00:00\r\n',52.8,4,323.6653543,94.5,0,0.000462627
2025-07-09 02:15:00\r\n',52.7,7,344.8661417,95,0,0.000501966
2025-07-09 02:30:00\r\n',52.6,5,281.2637795,95,0,0.000541264
2025-07-09 02:45:00\r\n',52.5,2,316.5984252,95,0,0.000566473
2025-07-09 03:00:00\r\n',52.3,3,325.0787402,95.5,0,0.000582213
2025-07-09 03:15:00\r\n',52.2,2,323.6653543,95.5,0,0.000596512
2025-07-09 03:30:00\r\n',52,3,9.893700787,95.5,0,0.000610747
2025-07-09 04:00:00\r\n',52.1,3,339.2125984,95.5,0,0.00064684
2025-07-09 04:15:00\r\n',51.9,4,349.1062992,95.5,0,0.000668265
2025-07-09 04:30:00\r\n',51.8,0,309.5314961,96,0,0.000676911
2025-07-09 04:45:00\r\n',51.5,2,325.0787402,95.5,0,0.000676911
2025-07-09 05:15:00\r\n',51.3,3,325.0787402,96,0,0.000702094
2025-07-09 05:30:00\r\n',51,2,333.5590551,96,0,0.000713249
2025-07-09 05:45:00\r\n',51.2,7,291.1574803,96,0,0.000735923
2025-07-09 06:15:00\r\n',51,3,4.24015748,96,0,0.000986969
2025-07-09 06:30:00\r\n',51,6,323.6653543,96,0,0.00128958
2025-07-09 06:45:00\r\n',51.1,3,301.0511811,96,0,0.001772784
2025-07-09 07:00:00\r\n',51.3,2,332.1456693,96,0,0.002739786
2025-07-09 07:15:00\r\n',51.1,1,336.3858268,96,0,0.004413599
2025-07-09 07:30:00\r\n',51.9,3,326.492126,96,0,0.006745635
2025-07-09 07:31:00\r\n',,,,,0,0.006745635
2025-07-09 07:45:00\r\n',52.7,6,254.4094488,96.5,0,0.006745635
2025-07-09 08:00:00\r\n',53.5,1,344.8661417,96,0,0.011108681
2025-07-09 08:15:00\r\n',55.7,8,322.2519685,93,0,0.01674298
2025-07-09 08:30:00\r\n',57.7,7,323.6653543,85.5,0,0.024955916
2025-07-09 08:45:00\r\n',58.3,4,12.72047244,84.5,0,0.034908067
2025-07-09 09:15:00\r\n',60.5,10,318.011811,77.5,0,0.057123741
2025-07-09 09:30:00\r\n',60.6,6,275.6102362,78.5,0,0.069404985
2025-07-09 09:45:00\r\n',60.6,4,302.4645669,77,0,0.082857387
2025-07-09 10:00:00\r\n',60.5,6,308.1181102,77,0,0.097136849
2025-07-09 10:15:00\r\n',62.7,3,333.5590551,72,0,0.112253891
2025-07-09 10:30:00\r\n',62.9,7,318.011811,70.5,0,0.112253891
2025-07-09 11:45:00\r\n',70.2,4,319.4251969,56.5,0,0.112253891
2025-07-09 12:00:00\r\n',71.7,3,281.2637795,53,0,0.137365226
2025-07-09 12:30:00\r\n',69.1,4,8.480314961,56.5,0,0.188391259
2025-07-09 12:45:00\r\n',70.2,5,339.2125984,53.5,0,0.213567936
2025-07-09 13:00:00\r\n',69.9,6,24.02755906,55.5,0,0.23847519
2025-07-09 13:15:00\r\n',70.7,2,15.54724409,55,0,0.264255065
2025-07-09 13:45:00\r\n',72.6,7,296.8110236,52,0,0.315677197
2025-07-09 14:00:00\r\n',69.4,4,7.066929134,57,0,0.340320047
2025-07-09 14:15:00\r\n',69.9,10,333.5590551,57,0,0.363416167
2025-07-09 15:00:00\r\n',69.9,3,325.0787402,57,0,0.430687436
2025-07-09 15:15:00\r\n',68.9,5,32.50787402,57,0,0.452945367
2025-07-09 15:30:00\r\n',69.1,2,254.4094488,56,0,0.474551137
2025-07-09 15:45:00\r\n',69.1,7,21.2007874,49.5,0,0.494937397
2025-07-09 16:00:00\r\n',69.8,7,39.57480315,50.5,0,0.513650989
2025-07-09 16:15:00\r\n',69.6,9,340.6259843,51.5,0,0.531162242
2025-07-09 16:16:00\r\n',,,,,0,0.531162242
2025-07-09 16:30:00\r\n',68.7,7,9.893700787,51.5,0,0.531162242
2025-07-09 16:45:00\r\n',68.1,6,29.68110236,53,0,0.546763592
2025-07-09 17:00:00\r\n',68.6,5,4.24015748,51,0,0.561535151
2025-07-09 17:15:00\r\n',67.9,7,39.57480315,52,0,0.575013534
2025-07-09 17:30:00\r\n',66.4,4,28.26771654,55.5,0,0.587186354
2025-07-09 17:45:00\r\n',65.3,6,9.893700787,59.5,0,0.598016181
2025-07-09 18:00:00\r\n',64.3,9,7.066929134,62.5,0,0.60709837
2025-07-09 18:15:00\r\n',63.7,5,21.2007874,64.5,0,0.614972849
2025-07-09 18:30:00\r\n',63.4,6,15.54724409,64,0,0.621763265
2025-07-09 18:45:00\r\n',62.5,6,344.8661417,65,0,0.627252158
2025-07-09 19:00:00\r\n',62,4,4.24015748,65,0,0.63146068
2025-07-09 19:15:00\r\n',62,8,346.2795276,62.5,0,0.633694115
2025-07-09 19:30:00\r\n',61.7,4,340.6259843,61.5,0,0.6345741
2025-07-09 19:45:00\r\n',60.5,3,340.6259843,63.5,0,0.635082946
2025-07-09 19:46:00\r\n',,,,,0,0.635082946
2025-07-09 20:00:00\r\n',60.4,2,337.7992126,65,0,0.635082946
2025-07-09 20:15:00\r\n',60.3,5,7.066929134,65,0,0.635310493
2025-07-09 20:45:00\r\n',57.5,0,15.54724409,73,0,0.635471975
2025-07-09 21:00:00\r\n',54.7,0,86.21653543,79.5,0,0.635471975
2025-07-09 21:15:00\r\n',52.9,0,132.8582677,84.5,0,0.635471975
2025-07-09 21:30:00\r\n',52.3,0,145.5787402,86,0,0.635471975
2025-07-09 21:45:00\r\n',52.1,2,145.5787402,88.5,0,0.635471975
2025-07-09 22:00:00\r\n',51.3,2,155.4724409,89.5,0,0.635471975
2025-07-09 22:15:00\r\n',51.2,0,155.4724409,91.5,0,0.635471975
2025-07-09 22:30:00\r\n',51,2,148.4055118,90.5,0,0.635471975
2025-07-09 22:31:00\r\n',,,,,0,0.635471975
2025-07-09 22:45:00\r\n',50.6,0,163.9527559,92.5,0,0.635471975
2025-07-09 23:00:00\r\n',50.5,0,165.3661417,93,0,0.635471975
2025-07-09 23:15:00\r\n',50.6,1,168.1929134,93,0,0.635471975
2025-07-09 23:30:00\r\n',50.7,0,158.2992126,92.5,0,0.635471975
2025-07-09 23:45:00\r\n',50.3,0,173.8464567,92.5,0,0.635471975
2025-07-10 01:00:00\r\n',50.1,0,155.4724409,92,0,0
2025-07-10 01:15:00\r\n',50.3,2,156.8858268,92.5,0,7.16E-06
2025-07-10 01:30:00\r\n',50.5,0,155.4724409,92.5,0,1.37E-05
2025-07-10 02:00:00\r\n',50.3,0,139.9251969,93.5,0,1.37E-05
2025-07-10 02:15:00\r\n',49.9,0,165.3661417,94.5,0,1.37E-05
2025-07-10 02:30:00\r\n',49.9,0,186.5669291,94.5,0,1.37E-05
2025-07-10 02:45:00\r\n',49.8,0,158.2992126,95,0,1.37E-05
2025-07-10 03:00:00\r\n',49.6,0,168.1929134,95,0,1.37E-05
2025-07-10 03:15:00\r\n',49.8,1,141.3385827,94.5,0,1.37E-05
2025-07-10 03:30:00\r\n',50.6,0,210.5944882,93.5,0,1.37E-05
2025-07-10 03:45:00\r\n',52,0,139.9251969,90,0,1.37E-05
2025-07-10 04:00:00\r\n',50.6,0,142.7519685,92,0,1.37E-05
2025-07-10 04:15:00\r\n',49.9,1,152.6456693,94,0,1.37E-05
2025-07-10 04:45:00\r\n',49.4,0,162.5393701,95,0,1.37E-05
2025-07-10 05:00:00\r\n',49.3,0,149.8188976,95,0,1.37E-05
2025-07-10 05:15:00\r\n',48.1,0,149.8188976,94.5,0,1.37E-05
2025-07-10 07:15:00\r\n',51.3,2,118.7244094,96,0,0.015191684
2025-07-10 07:30:00\r\n',52,0,134.2716535,96,0,0.019382873
2025-07-10 07:45:00\r\n',53.3,3,100.3503937,95,0,0.024570154
2025-07-10 08:00:00\r\n',54.8,0,49.46850394,92,0,0.031005038
2025-07-10 08:15:00\r\n',57.3,1,14.13385827,88,0,0.039032498
2025-07-10 08:45:00\r\n',61.1,2,48.05511811,77.5,0,0.059536873
2025-07-10 09:00:00\r\n',62.7,1,19.78740157,75,0,0.072176816
2025-07-10 09:15:00\r\n',64.7,4,4.24015748,70.5,0,0.08605445
2025-07-10 09:45:00\r\n',65,2,7.066929134,69.5,0,0.117222001
2025-07-10 10:00:00\r\n',65.3,3,12.72047244,69,0,0.134133994
2025-07-10 10:15:00\r\n',67.4,4,11.30708661,64,0,0.150428611
2025-07-10 11:00:00\r\n',70.6,3,336.3858268,59.5,0,0.20619713
2025-07-10 11:15:00\r\n',72.2,4,29.68110236,57,0,0.228668797
2025-07-10 11:30:00\r\n',73.1,5,40.98818898,55.5,0,0.252412922
2025-07-10 11:45:00\r\n',72.1,6,7.066929134,56.5,0,0.27630053
2025-07-10 12:00:00\r\n',72.9,4,33.92125984,55.5,0,0.300921236
2025-07-10 12:15:00\r\n',73.2,3,4.24015748,54,0,0.326944179
2025-07-10 12:16:00\r\n',,,,,0,0.326944179
2025-07-10 12:30:00\r\n',74.5,5,254.4094488,52.5,0,0.326944179
2025-07-10 12:45:00\r\n',75.9,5,4.24015748,48.5,0,0.353674262
2025-07-10 13:00:00\r\n',76.7,5,344.8661417,48,0,0.380923039
2025-07-10 13:15:00\r\n',78.4,5,9.893700787,45,0,0.408561679
2025-07-10 13:30:00\r\n',76.9,5,254.4094488,46.5,0,0.436075267
2025-07-10 13:45:00\r\n',77.8,5,343.4527559,44.5,0,0.463341621
2025-07-10 14:00:00\r\n',78.3,6,67.84251969,41.5,0,0.490358498
2025-07-10 14:30:00\r\n',79.6,8,346.2795276,39,0,0.542456826
2025-07-10 14:45:00\r\n',79.5,8,337.7992126,39.5,0,0.567563986
2025-07-10 15:00:00\r\n',79.2,14,16.96062992,38.5,0,0.591136681
2025-07-10 15:15:00\r\n',77.9,10,7.066929134,39.5,0,0.613545545
2025-07-10 15:30:00\r\n',76.9,9,333.5590551,41,0,0.63546128
2025-07-10 15:45:00\r\n',75.9,9,16.96062992,40.5,0,0.656411365
2025-07-10 16:00:00\r\n',75,11,7.066929134,41,0,0.675987093
2025-07-10 16:15:00\r\n',73.8,11,316.5984252,42,0,0.694157382
2025-07-10 16:30:00\r\n',74,9,327.9055118,40,0,0.711503171
2025-07-10 16:45:00\r\n',75.5,9,325.0787402,37,0,0.728251212
2025-07-10 17:00:00\r\n',75.8,4,12.72047244,35.5,0,0.744518498
2025-07-10 17:15:00\r\n',76,7,342.0393701,34.5,0,0.759745319
2025-07-10 17:30:00\r\n',74.3,7,343.4527559,39,0,0.773389696
2025-07-10 18:15:00\r\n',69.5,5,4.24015748,48.5,0,0.805005049
2025-07-10 18:30:00\r\n',69.9,8,316.5984252,47,0,0.812599557
2025-07-10 20:30:00\r\n',,,,,0,0.812599557
2025-07-10 20:45:00\r\n',52.8,0,91.87007874,87,0,0.812599557
