localizeddatetime\r\n',temp,windSpeed,windDirection,humidity,dayRain_c,dayET_c
2025-09-08 07:45:00\r\n',58.7,7,285.503937,96.5,0,0.00291042
2025-09-08 08:00:00\r\n',58.9,9,292.5708661,96.5,0,0.004384465
2025-09-08 08:15:00\r\n',59,8,329.3188976,96.5,0,0.006126421
2025-09-08 08:30:00\r\n',59.2,7,346.2795276,96.5,0,0.007987035
2025-09-08 08:45:00\r\n',59.7,9,337.7992126,96.5,0,0.010055744
2025-09-08 09:00:00\r\n',60,6,323.6653543,96.5,0,0.012604922
2025-09-08 09:15:00\r\n',60.2,5,285.503937,96.5,0,0.016141722
2025-09-08 09:30:00\r\n',60.7,2,332.1456693,96.5,0,0.020711812
2025-09-08 09:45:00\r\n',60.9,5,326.492126,96,0,0.025508965
2025-09-08 10:00:00\r\n',61,7,32.50787402,95.5,0,0.029960331
2025-09-08 10:15:00\r\n',62.2,4,337.7992126,95,0,0.035357521
2025-09-08 10:30:00\r\n',63.1,8,315.1850394,91.5,0,0.041402
2025-09-08 10:45:00\r\n',65.4,4,332.1456693,86.5,0,0.050824114
2025-09-08 11:00:00\r\n',66.1,3,343.4527559,85,0,0.063653703
2025-09-08 11:15:00\r\n',68,5,320.8385827,80.5,0,0.074628836
2025-09-08 11:30:00\r\n',69.6,6,288.3307087,77.5,0,0.087070233
2025-09-08 11:45:00\r\n',71.4,11,254.4094488,71.5,0,0.102804462
2025-09-08 12:00:00\r\n',72.3,6,306.7047244,68.5,0,0.121898637
2025-09-08 12:15:00\r\n',72.8,7,262.8897638,66.5,0,0.143653281
2025-09-08 12:30:00\r\n',73.3,5,288.3307087,66.5,0,0.166018657
2025-09-08 12:45:00\r\n',73.8,8,318.011811,64.5,0,0.188470956
2025-09-08 13:00:00\r\n',74.1,7,329.3188976,64,0,0.21070105
2025-09-08 13:15:00\r\n',74.4,13,305.2913386,62.5,0,0.232041879
2025-09-08 13:30:00\r\n',74,6,325.0787402,62.5,0,0.253470389
2025-09-08 13:45:00\r\n',74.6,9,316.5984252,61.5,0,0.275507094
2025-09-08 14:00:00\r\n',74.3,6,326.492126,61,0,0.297261219
2025-09-08 14:15:00\r\n',74.4,11,312.3582677,60.5,0,0.318237057
2025-09-08 14:30:00\r\n',74.2,11,298.2244094,60,0,0.337891034
2025-09-08 14:45:00\r\n',73.9,2,271.3700787,60,0,0.358357451
2025-09-08 15:00:00\r\n',74.1,8,327.9055118,59.5,0,0.378614038
2025-09-08 15:15:00\r\n',73,3,316.5984252,62,0,0.397733693
2025-09-08 15:30:00\r\n',71.5,10,337.7992126,65,0,0.415303874
2025-09-08 15:45:00\r\n',71.2,12,310.9448819,66,0,0.430493587
2025-09-08 16:00:00\r\n',70.2,5,303.8779528,68,0,0.445226326
2025-09-08 16:15:00\r\n',69.5,6,11.30708661,68.5,0,0.459494117
2025-09-08 16:30:00\r\n',69.4,4,288.3307087,69,0,0.472657657
2025-09-08 16:45:00\r\n',68.9,7,305.2913386,69.5,0,0.484488869
2025-09-08 17:00:00\r\n',67.3,12,318.011811,72.5,0,0.494237739
2025-09-08 17:15:00\r\n',66.8,11,296.8110236,74,0,0.502403894
2025-09-08 17:30:00\r\n',65.9,9,344.8661417,76,0,0.509482974
2025-09-08 17:45:00\r\n',65.2,13,4.24015748,78,0,0.514097142
2025-09-08 18:00:00\r\n',64.3,10,318.011811,80,0,0.515890391
2025-09-08 18:15:00\r\n',63.4,13,319.4251969,82.5,0,0.516550664
2025-09-08 18:30:00\r\n',62.5,12,329.3188976,85,0,0.517295298
2025-09-08 18:45:00\r\n',62.2,7,308.1181102,87,0,0.517884882
2025-09-08 19:00:00\r\n',62,10,301.0511811,88,0,0.518055422
2025-09-08 19:15:00\r\n',61.8,3,336.3858268,88,0,0.518127694
2025-09-08 19:30:00\r\n',61.8,6,305.2913386,89,0,0.518127694
2025-09-08 19:45:00\r\n',61.8,6,292.5708661,89.5,0,0.518127694
2025-09-08 20:00:00\r\n',61.7,7,262.8897638,90,0,0.518127694
2025-09-08 20:15:00\r\n',61.6,7,301.0511811,90.5,0,0.518127694
2025-09-08 20:30:00\r\n',61.6,10,346.2795276,91,0,0.518127694
2025-09-08 20:45:00\r\n',61.5,7,340.6259843,90,0,0.518129772
2025-09-08 21:00:00\r\n',61.1,2,346.2795276,90,0,0.518129772
2025-09-08 21:15:00\r\n',61.2,10,327.9055118,91.5,0,0.518129772
2025-09-08 21:30:00\r\n',61.3,8,9.893700787,92,0,0.518129772
2025-09-08 21:45:00\r\n',61.2,7,343.4527559,92.5,0,0.518129772
2025-09-08 22:00:00\r\n',61.3,8,301.0511811,92.5,0,0.518129772
2025-09-08 22:15:00\r\n',61.3,8,332.1456693,93,0,0.518129772
2025-09-08 22:30:00\r\n',61.3,7,334.9724409,93,0,0.518129772
2025-09-08 22:45:00\r\n',61.4,2,313.7716535,93,0,0.518129772
2025-09-08 23:00:00\r\n',61.6,7,332.1456693,91.5,0,0.518129772
2025-09-08 23:15:00\r\n',61.7,7,325.0787402,91.5,0,0.518129772
2025-09-08 23:30:00\r\n',61.5,4,7.066929134,91.5,0,0.518129772
2025-09-08 23:31:00\r\n',,,,,0,0.518129772
2025-09-08 23:45:00\r\n',61.4,6,347.6929134,91,0,0.518129772
2025-09-09 00:00:00\r\n',61.3,8,16.96062992,90.5,0,3.04E-05
2025-09-09 00:15:00\r\n',61.3,7,4.24015748,91,0,6.75E-05
2025-09-09 00:45:00\r\n',61.4,6,344.8661417,91,0,0.000107708
2025-09-09 01:00:00\r\n',61.6,8,323.6653543,90.5,0,0.000215976
2025-09-09 01:15:00\r\n',61.7,6,350.519685,89.5,0,0.000334059
2025-09-09 01:30:00\r\n',61.7,5,337.7992126,89.5,0,0.000442078
2025-09-09 01:45:00\r\n',61.7,7,339.2125984,90.5,0,0.000550224
2025-09-09 02:00:00\r\n',61.5,9,332.1456693,91.5,0,0.000663489
2025-09-09 02:15:00\r\n',61.5,9,343.4527559,92,0,0.000772777
2025-09-09 02:30:00\r\n',61.5,12,332.1456693,92,0,0.000886397
2025-09-09 02:45:00\r\n',61.4,5,340.6259843,92.5,0,0.000985669
2025-09-09 03:00:00\r\n',61.4,6,325.0787402,93,0,0.001057158
2025-09-09 03:15:00\r\n',61.2,8,316.5984252,93.5,0,0.00113378
2025-09-09 03:30:00\r\n',61.1,6,344.8661417,94,0,0.00120391
2025-09-09 03:45:00\r\n',61,5,254.4094488,94,0,0.00126114
2025-09-09 04:00:00\r\n',60.9,7,343.4527559,94.5,0,0.001318827
2025-09-09 04:15:00\r\n',60.8,3,342.0393701,95,0,0.001364298
2025-09-09 04:30:00\r\n',60.7,7,334.9724409,95,0,0.001407083
2025-09-09 04:45:00\r\n',60.4,7,309.5314961,95.5,0,0.001457806
2025-09-09 05:00:00\r\n',60.5,1,339.2125984,95.5,0,0.001488601
2025-09-09 05:15:00\r\n',60.3,4,4.24015748,95,0,0.00150842
2025-09-09 05:30:00\r\n',60.4,3,312.3582677,94.5,0,0.001541514
2025-09-09 05:45:00\r\n',60.4,7,329.3188976,94.5,0,0.001589015
2025-09-09 06:00:00\r\n',60.4,5,322.2519685,94.5,0,0.001643081
2025-09-09 06:15:00\r\n',60.4,5,254.4094488,94.5,0,0.001690582
2025-09-09 06:30:00\r\n',60.1,4,275.6102362,94.5,0,0.001741481
2025-09-09 06:45:00\r\n',60.1,3,7.066929134,94.5,0,0.001856191
2025-09-09 07:00:00\r\n',60,3,339.2125984,94.5,0,0.002182959
2025-09-09 07:15:00\r\n',60,4,7.066929134,94,0,0.002828357
2025-09-09 07:30:00\r\n',60.2,2,334.9724409,94.5,0,0.003937864
2025-09-09 07:45:00\r\n',61.3,4,330.7322835,93.5,0,0.006480093
2025-09-09 08:00:00\r\n',63.1,4,4.24015748,90,0,0.010160517
2025-09-09 08:15:00\r\n',64.9,3,298.2244094,88.5,0,0.014314292
2025-09-09 08:30:00\r\n',66.8,4,343.4527559,84,0,0.01958058
2025-09-09 08:45:00\r\n',69.4,8,330.7322835,78.5,0,0.025969417
2025-09-09 09:00:00\r\n',69.1,4,330.7322835,78.5,0,0.032900953
2025-09-09 09:15:00\r\n',70.5,6,336.3858268,75.5,0,0.040640808
2025-09-09 09:30:00\r\n',71.7,4,8.480314961,73,0,0.050043517
2025-09-09 09:45:00\r\n',73.4,7,267.1299213,70.5,0,0.062252656
2025-09-09 10:00:00\r\n',71.9,7,288.3307087,73,0,0.077394209
2025-09-09 10:15:00\r\n',73.1,4,4.24015748,69,0,0.092279053
2025-09-09 10:30:00\r\n',73.6,10,302.4645669,69,0,0.107758969
2025-09-09 10:45:00\r\n',73.3,8,319.4251969,70,0,0.125569891
2025-09-09 11:00:00\r\n',73.9,9,340.6259843,67.5,0,0.14398023
2025-09-09 11:15:00\r\n',74.2,6,8.480314961,68,0,0.163633897
2025-09-09 11:30:00\r\n',74,9,301.0511811,68.5,0,0.183837245
2025-09-09 11:45:00\r\n',73.1,6,254.4094488,70.5,0,0.204251466
2025-09-09 12:00:00\r\n',73.6,9,269.9566929,70,0,0.225621481
2025-09-09 12:15:00\r\n',73.3,5,7.066929134,70.5,0,0.247713195
2025-09-09 12:30:00\r\n',73.9,7,299.6377953,68,0,0.270026858
2025-09-09 12:45:00\r\n',74.4,3,344.8661417,66.5,0,0.292972333
2025-09-09 13:00:00\r\n',74.4,7,302.4645669,64.5,0,0.316077198
2025-09-09 13:15:00\r\n',74.1,5,350.519685,65,0,0.338665464
2025-09-09 13:30:00\r\n',74.5,10,332.1456693,64,0,0.360477493
2025-09-09 13:45:00\r\n',75,4,313.7716535,61.5,0,0.382411203
2025-09-09 14:00:00\r\n',74.1,7,308.1181102,58.5,0,0.404591057
2025-09-09 14:15:00\r\n',73.4,12,306.7047244,60,0,0.424715492
2025-09-09 14:30:00\r\n',72.6,9,16.96062992,60,0,0.443846646
2025-09-09 14:45:00\r\n',72,9,303.8779528,62,0,0.462670536
2025-09-09 15:00:00\r\n',71.3,8,319.4251969,63,0,0.480817152
2025-09-09 15:15:00\r\n',70.9,7,320.8385827,63,0,0.49841289
2025-09-09 15:30:00\r\n',70.8,11,302.4645669,63,0,0.514669771
2025-09-09 15:45:00\r\n',69.7,10,322.2519685,65.5,0,0.529513031
2025-09-09 16:00:00\r\n',69.1,8,340.6259843,68.5,0,0.543563795
2025-09-09 16:30:00\r\n',67.9,11,346.2795276,71.5,0,0.567960233
2025-09-09 16:45:00\r\n',67.4,7,318.011811,72,0,0.578580522
2025-09-09 17:00:00\r\n',66.9,12,313.7716535,74,0,0.587955758
2025-09-09 17:15:00\r\n',65.6,14,344.8661417,76.5,0,0.595639988
2025-09-09 17:30:00\r\n',64.6,11,318.011811,78.5,0,0.600372636
2025-09-09 17:45:00\r\n',63.7,8,278.4370079,81.5,0,0.60251209
2025-09-09 18:00:00\r\n',63.4,16,316.5984252,84,0,0.604272299
2025-09-09 18:15:00\r\n',63.1,9,322.2519685,85,0,0.605587912
2025-09-09 18:30:00\r\n',62.9,6,315.1850394,85.5,0,0.606442262
2025-09-09 18:45:00\r\n',62.4,7,318.011811,86.5,0,0.607073415
2025-09-09 19:00:00\r\n',62,10,329.3188976,87.5,0,0.607408695
2025-09-09 19:15:00\r\n',61.7,9,319.4251969,88,0,0.60750506
2025-09-09 19:30:00\r\n',61.5,5,313.7716535,88.5,0,0.607520342
2025-09-09 19:45:00\r\n',61.5,11,332.1456693,89,0,0.607536355
2025-09-09 20:00:00\r\n',61.6,16,306.7047244,89,0,0.60761931
2025-09-09 20:15:00\r\n',61.6,12,320.8385827,88.5,0,0.607710967
2025-09-09 20:30:00\r\n',61.6,12,286.9173228,88.5,0,0.607786663
2025-09-09 20:45:00\r\n',61.7,8,318.011811,89.5,0,0.607830748
2025-09-09 21:00:00\r\n',61.8,10,292.5708661,89.5,0,0.607853978
2025-09-09 21:15:00\r\n',61.8,6,319.4251969,90,0,0.607858108
2025-09-09 21:30:00\r\n',61.3,5,330.7322835,91.5,0,0.607858108
2025-09-09 22:00:00\r\n',61.2,11,330.7322835,92,0,0.607858108
2025-09-09 22:15:00\r\n',61.3,7,320.8385827,92,0,0.607858108
2025-09-09 22:30:00\r\n',61.3,9,342.0393701,92,0,0.607858108
2025-09-09 22:45:00\r\n',61.1,7,342.0393701,92.5,0,0.607858108
2025-09-09 23:00:00\r\n',61.2,7,332.1456693,92,0,0.607858108
2025-09-09 23:15:00\r\n',61.3,7,316.5984252,92,0,0.607858108
2025-09-09 23:30:00\r\n',61.4,6,301.0511811,91.5,0,0.607858108
2025-09-09 23:45:00\r\n',61.4,5,329.3188976,91.5,0,0.607858108
2025-09-10 00:00:00\r\n',61.5,5,334.9724409,91,0,0
2025-09-10 00:15:00\r\n',61.4,3,8.480314961,91.5,0,0
2025-09-10 00:30:00\r\n',61.4,13,316.5984252,92,0,0
2025-09-10 00:45:00\r\n',61.3,9,332.1456693,91.5,0,1.61E-05
2025-09-10 01:00:00\r\n',61.3,6,7.066929134,90.5,0,0.000124759
2025-09-10 01:15:00\r\n',61.3,6,303.8779528,91,0,0.000223232
2025-09-10 01:30:00\r\n',61.2,9,346.2795276,91,0,0.000331742
2025-09-10 01:45:00\r\n',61.2,8,327.9055118,91,0,0.00044735
2025-09-10 02:00:00\r\n',61.2,7,332.1456693,91,0,0.000555724
2025-09-10 02:15:00\r\n',61.1,3,329.3188976,91,0,0.000640436
2025-09-10 02:30:00\r\n',61,8,344.8661417,91.5,0,0.000727686
2025-09-10 02:45:00\r\n',60.9,7,315.1850394,91.5,0,0.000828999
2025-09-10 03:00:00\r\n',60.9,7,16.96062992,90,0,0.000935653
2025-09-10 03:15:00\r\n',60.9,8,303.8779528,89.5,0,0.001059126
2025-09-10 03:30:00\r\n',60.7,4,333.5590551,90,0,0.001167772
2025-09-10 03:45:00\r\n',60.7,5,319.4251969,90,0,0.001255325
2025-09-10 04:00:00\r\n',60.7,6,329.3188976,90,0,0.001355372
2025-09-10 04:15:00\r\n',60.6,6,349.1062992,90,0,0.001460787
2025-09-10 04:30:00\r\n',60.6,7,325.0787402,89,0,0.001577029
2025-09-10 04:45:00\r\n',60.1,6,322.2519685,88.5,0,0.001701348
2025-09-10 05:00:00\r\n',59.5,6,254.4094488,89.5,0,0.00181569
2025-09-10 05:15:00\r\n',58.9,6,342.0393701,91.5,0,0.001911919
2025-09-10 05:30:00\r\n',59,2,340.6259843,91.5,0,0.001976125
2025-09-10 05:45:00\r\n',59.5,2,332.1456693,92,0,0.002008785
2025-09-10 06:00:00\r\n',59.3,0,347.6929134,91.5,0,0.002020291
2025-09-10 06:15:00\r\n',58.8,1,336.3858268,92.5,0,0.002020291
2025-09-10 06:30:00\r\n',59.2,4,7.066929134,92,0,0.002067011
2025-09-10 06:45:00\r\n',58.6,0,336.3858268,92,0,0.002194682
2025-09-10 07:00:00\r\n',58.9,2,327.9055118,93,0,0.00280069
2025-09-10 07:15:00\r\n',60,1,336.3858268,93,0,0.003977006
2025-09-10 07:30:00\r\n',60.2,3,337.7992126,91.5,0,0.005368133
2025-09-10 07:45:00\r\n',60,5,8.480314961,92,0,0.0070166
2025-09-10 08:00:00\r\n',61,5,339.2125984,90,0,0.008727826
2025-09-10 08:15:00\r\n',61.3,4,333.5590551,90,0,0.010407158
2025-09-10 08:30:00\r\n',61.3,6,28.26771654,89.5,0,0.012703167
2025-09-10 08:45:00\r\n',62,4,332.1456693,88,0,0.015268435
2025-09-10 09:00:00\r\n',61.8,6,7.066929134,88.5,0,0.017412443
2025-09-10 09:15:00\r\n',61.7,6,4.24015748,89,0,0.019807023
2025-09-10 09:30:00\r\n',62.3,5,333.5590551,87,0,0.022838275
2025-09-10 09:45:00\r\n',62.9,5,4.24015748,87.5,0,0.026870732
2025-09-10 10:00:00\r\n',64.2,3,7.066929134,84,0,0.031553205
2025-09-10 10:15:00\r\n',64.8,4,299.6377953,80.5,0,0.036610061
2025-09-10 10:30:00\r\n',65.3,1,254.4094488,79.5,0,0.047307914
2025-09-10 10:45:00\r\n',67,6,312.3582677,74.5,0,0.059300028
2025-09-10 11:00:00\r\n',69.3,2,344.8661417,71,0,0.069395802
2025-09-10 11:15:00\r\n',69.1,6,322.2519685,66.5,0,0.077316528
2025-09-10 11:30:00\r\n',70.5,7,337.7992126,66.5,0,0.083496229
2025-09-10 11:45:00\r\n',70.6,6,326.492126,64.5,0,0.098664405
2025-09-10 12:00:00\r\n',71,9,4.24015748,62.5,0,0.11450399
2025-09-10 12:15:00\r\n',73,6,305.2913386,60.5,0,0.131276907
2025-09-10 12:30:00\r\n',73.1,4,315.1850394,59,0,0.155408763
2025-09-10 12:45:00\r\n',74.1,5,318.011811,57.5,0,0.180450116
2025-09-10 13:00:00\r\n',74,4,339.2125984,57,0,0.20633238
2025-09-10 13:15:00\r\n',74.3,6,330.7322835,55.5,0,0.230750223
2025-09-10 13:30:00\r\n',73.8,8,320.8385827,56.5,0,0.253653368
2025-09-10 13:45:00\r\n',73.5,8,332.1456693,57.5,0,0.26760613
2025-09-10 14:00:00\r\n',71.6,9,291.1574803,61,0,0.282218055
2025-09-10 14:15:00\r\n',71.7,4,303.8779528,61,0,0.302694006
2025-09-10 14:30:00\r\n',72.8,3,303.8779528,58.5,0,0.313969836
2025-09-10 14:45:00\r\n',73.6,6,309.5314961,58,0,0.326651955
2025-09-10 15:00:00\r\n',73.6,4,349.1062992,57.5,0,0.34263389
2025-09-10 15:15:00\r\n',73.7,7,332.1456693,56.5,0,0.357496672
2025-09-10 15:30:00\r\n',73,5,332.1456693,57.5,0,0.374969236
2025-09-10 15:45:00\r\n',72.8,6,339.2125984,58,0,0.391413141
2025-09-10 16:00:00\r\n',72.3,6,298.2244094,59.5,0,0.406841167
2025-09-10 16:15:00\r\n',71.5,8,285.503937,61,0,0.420895425
2025-09-10 16:30:00\r\n',69.8,6,254.4094488,64,0,0.433450689
2025-09-10 16:45:00\r\n',69.5,6,330.7322835,66.5,0,0.444837087
2025-09-10 17:00:00\r\n',68.6,6,333.5590551,68,0,0.454744381
2025-09-10 17:15:00\r\n',67.4,2,313.7716535,70,0,0.464125672
2025-09-10 17:30:00\r\n',65.9,3,313.7716535,74.5,0,0.470742469
2025-09-10 17:45:00\r\n',66.3,4,306.7047244,75,0,0.473399909
2025-09-10 18:00:00\r\n',65.1,3,318.011811,77.5,0,0.474781802
2025-09-10 18:15:00\r\n',64.5,5,315.1850394,80,0,0.475702407
2025-09-10 18:30:00\r\n',63.6,4,298.2244094,82,0,0.476241287
2025-09-10 18:45:00\r\n',63.1,2,330.7322835,83,0,0.476460427
2025-09-10 19:00:00\r\n',62.5,4,291.1574803,85,0,0.47653252
2025-09-10 19:15:00\r\n',61.9,3,340.6259843,86.5,0,0.47653252
2025-09-10 19:30:00\r\n',61.5,1,4.24015748,88,0,0.47653252
2025-09-10 19:45:00\r\n',61.1,6,320.8385827,88.5,0,0.47653252
2025-09-10 20:00:00\r\n',61.1,8,346.2795276,89.5,0,0.47653252
2025-09-10 20:15:00\r\n',61.3,7,299.6377953,89.5,0,0.47653252
2025-09-10 20:30:00\r\n',61.6,6,344.8661417,88.5,0,0.47653252
2025-09-10 20:45:00\r\n',61.6,4,286.9173228,89.5,0,0.47653252
2025-09-10 21:00:00\r\n',61.4,6,301.0511811,90,0,0.47653252
2025-09-10 21:15:00\r\n',61.1,3,350.519685,91,0,0.47653252
2025-09-10 21:30:00\r\n',61,8,313.7716535,91,0,0.47653252
2025-09-10 21:45:00\r\n',61.1,4,316.5984252,90.5,0,0.47653252
2025-09-10 22:00:00\r\n',61.1,6,312.3582677,90,0,0.47653252
2025-09-10 22:15:00\r\n',61.1,5,279.8503937,90,0,0.47653252
2025-09-10 22:30:00\r\n',61,5,325.0787402,90.5,0,0.47653252
2025-09-10 22:45:00\r\n',61,11,303.8779528,90.5,0,0.47653252
2025-09-10 23:00:00\r\n',61,6,333.5590551,91,0,0.47653252
2025-09-10 23:15:00\r\n',60.7,7,316.5984252,90.5,0,0.47653252
2025-09-10 23:30:00\r\n',60.4,8,322.2519685,91.5,0,0.47653252
2025-09-10 23:45:00\r\n',60.2,8,254.4094488,91.5,0,0.47653252
2025-09-11 00:00:00\r\n',60.2,6,16.96062992,91.5,0,0
2025-09-11 00:15:00\r\n',60.2,4,301.0511811,92,0,0
2025-09-11 00:30:00\r\n',60,5,316.5984252,92,0,0
2025-09-11 00:45:00\r\n',59.8,10,318.011811,91.5,0,0
2025-09-11 01:00:00\r\n',59.7,7,7.066929134,91.5,0,0.000104783
2025-09-11 01:15:00\r\n',59.6,4,15.54724409,91.5,0,0.000186449
2025-09-11 01:30:00\r\n',59.6,5,346.2795276,91.5,0,0.000257615
2025-09-11 01:45:00\r\n',59.6,1,344.8661417,91,0,0.000310833
2025-09-11 02:00:00\r\n',59.5,7,343.4527559,90.5,0,0.000382543
2025-09-11 02:15:00\r\n',59.3,2,319.4251969,90,0,0.000465093
2025-09-11 02:30:00\r\n',59.4,6,303.8779528,89,0,0.000547373
2025-09-11 02:45:00\r\n',59.4,5,298.2244094,88.5,0,0.000657439
2025-09-11 03:00:00\r\n',59.5,6,320.8385827,88,0,0.000772901
2025-09-11 03:15:00\r\n',59.3,6,319.4251969,87.5,0,0.000899876
2025-09-11 03:30:00\r\n',59.4,8,319.4251969,88,0,0.001038037
2025-09-11 03:45:00\r\n',59.3,10,4.24015748,88.5,0,0.001187802
2025-09-11 04:00:00\r\n',59.3,10,28.26771654,88,0,0.001344517
2025-09-11 04:15:00\r\n',59.4,3,254.4094488,88,0,0.001474366
2025-09-11 04:30:00\r\n',59.3,8,323.6653543,89.5,0,0.001584298
2025-09-11 04:45:00\r\n',59.2,9,293.984252,90.5,0,0.00170711
2025-09-11 05:00:00\r\n',59.2,6,330.7322835,91.5,0,0.001810076
2025-09-11 05:15:00\r\n',59.4,11,337.7992126,91.5,0,0.001913625
2025-09-11 05:30:00\r\n',59.5,7,313.7716535,91,0,0.002023834
2025-09-11 05:45:00\r\n',59.5,7,322.2519685,91,0,0.002123798
2025-09-11 06:00:00\r\n',59.3,12,343.4527559,91,0,0.002240066
2025-09-11 06:15:00\r\n',59.2,7,306.7047244,91.5,0,0.002352482
2025-09-11 06:30:00\r\n',58.9,6,325.0787402,92,0,0.002438736
2025-09-11 06:45:00\r\n',58.5,6,337.7992126,91.5,0,0.002610146
2025-09-11 07:00:00\r\n',58.2,2,343.4527559,91.5,0,0.003026641
2025-09-11 07:15:00\r\n',59,7,330.7322835,90,0,0.004167105
2025-09-11 07:30:00\r\n',59.4,6,4.24015748,88.5,0,0.005518489
2025-09-11 07:45:00\r\n',59.7,4,9.893700787,88.5,0,0.006870113
2025-09-11 08:00:00\r\n',59.8,9,319.4251969,87.5,0,0.008199361
2025-09-11 08:15:00\r\n',60.5,8,332.1456693,87,0,0.009743779
2025-09-11 08:30:00\r\n',61.7,7,309.5314961,83.5,0,0.012052511
2025-09-11 08:45:00\r\n',64.1,8,306.7047244,79.5,0,0.01646902
2025-09-11 09:00:00\r\n',65.4,10,343.4527559,76,0,0.024108207
2025-09-11 09:15:00\r\n',65,7,302.4645669,77.5,0,0.030839737
2025-09-11 09:30:00\r\n',64,8,292.5708661,79,0,0.034881374
2025-09-11 09:45:00\r\n',64.1,8,312.3582677,78.5,0,0.038787018
2025-09-11 10:00:00\r\n',65.8,11,319.4251969,74.5,0,0.044576777
2025-09-11 10:15:00\r\n',65.9,9,322.2519685,73.5,0,0.051518777
2025-09-11 10:30:00\r\n',66,4,326.492126,73,0,0.059143909
2025-09-11 10:45:00\r\n',66.8,6,326.492126,70,0,0.067663132
2025-09-11 11:00:00\r\n',67.5,8,323.6653543,68,0,0.07691628
2025-09-11 11:15:00\r\n',67.7,7,336.3858268,67.5,0,0.086725375
2025-09-11 12:15:00\r\n',71.6,7,337.7992126,61,0,0.149258682
2025-09-11 12:30:00\r\n',71.2,7,306.7047244,61.5,0,0.170972272
2025-09-11 12:45:00\r\n',71.8,10,7.066929134,61.5,0,0.192219045
2025-09-11 13:00:00\r\n',71.8,4,35.33464567,62.5,0,0.214166961
2025-09-11 13:15:00\r\n',71.6,13,323.6653543,61.5,0,0.235454957
2025-09-11 13:30:00\r\n',71.6,5,346.2795276,62,0,0.256410857
2025-09-11 13:45:00\r\n',71.8,10,330.7322835,61.5,0,0.27776254
2025-09-11 14:00:00\r\n',72.1,10,327.9055118,59.5,0,0.298008018
2025-09-11 14:15:00\r\n',71.5,11,322.2519685,58.5,0,0.31772942
2025-09-11 14:30:00\r\n',70.6,12,24.02755906,61.5,0,0.336405799
2025-09-11 14:45:00\r\n',69.4,16,327.9055118,65,0,0.353402845
2025-09-11 15:00:00\r\n',69.1,7,333.5590551,66,0,0.370210431
2025-09-11 15:15:00\r\n',68.2,8,206.3543307,68.5,0,0.387379847
2025-09-11 15:30:00\r\n',67.9,15,303.8779528,67.5,0,0.402422582
2025-09-11 15:45:00\r\n',67.9,15,305.2913386,68.5,0,0.415868545
2025-09-11 16:00:00\r\n',66.9,12,326.492126,69,0,0.428708373
2025-09-11 16:15:00\r\n',66.7,8,275.6102362,69,0,0.441253346
2025-09-11 16:30:00\r\n',66.4,15,318.011811,70.5,0,0.452484529
2025-09-11 16:45:00\r\n',65.5,11,332.1456693,72,0,0.462358478
2025-09-11 17:00:00\r\n',65.1,13,301.0511811,73,0,0.471230505
2025-09-11 17:15:00\r\n',64.4,10,332.1456693,74,0,0.479043559
2025-09-11 17:30:00\r\n',63.8,13,346.2795276,75.5,0,0.485675187
2025-09-11 17:45:00\r\n',62.7,14,292.5708661,79,0,0.489313659
2025-09-11 18:00:00\r\n',62,8,306.7047244,80.5,0,0.49067651
2025-09-11 18:15:00\r\n',61.3,15,320.8385827,83,0,0.491986461
2025-09-11 18:30:00\r\n',61,20,320.8385827,83.5,0,0.493303062
2025-09-11 18:45:00\r\n',60.7,12,323.6653543,85,0,0.494439336
2025-09-11 19:00:00\r\n',60.3,10,303.8779528,86,0,0.495263674
2025-09-11 19:15:00\r\n',60.1,17,316.5984252,87,0,0.495938812
2025-09-11 19:30:00\r\n',60.2,9,332.1456693,88,0,0.496484968
2025-09-11 19:45:00\r\n',60,12,330.7322835,88.5,0,0.496935507
2025-09-11 20:00:00\r\n',59.8,14,7.066929134,88.5,0,0.497417944
2025-09-11 20:15:00\r\n',59.8,9,343.4527559,89,0,0.497868793
2025-09-11 20:30:00\r\n',59.8,12,292.5708661,89,0,0.498296481
2025-09-11 20:45:00\r\n',59.9,14,306.7047244,89,0,0.498762577
2025-09-11 21:00:00\r\n',59.9,12,326.492126,89,0,0.499229072
2025-09-11 21:15:00\r\n',59.9,10,310.9448819,89,0,0.499665471
2025-09-11 21:30:00\r\n',59.8,14,315.1850394,89.5,0,0.500109386
2025-09-11 21:45:00\r\n',59.8,9,4.24015748,89,0,0.50054555
2025-09-11 22:00:00\r\n',59.6,8,327.9055118,89.5,0,0.500932305
2025-09-11 22:15:00\r\n',59.5,12,342.0393701,90,0,0.501330204
2025-09-11 22:30:00\r\n',59.3,5,310.9448819,91,0,0.501685757
2025-09-11 22:45:00\r\n',59.2,3,4.24015748,91.5,0,0.501953046
2025-09-11 23:00:00\r\n',59,6,350.519685,92,0,0.502221474
2025-09-11 23:15:00\r\n',58.8,5,344.8661417,92,0,0.502500512
2025-09-11 23:30:00\r\n',58.7,6,254.4094488,92.5,0,0.502774889
2025-09-11 23:45:00\r\n',58.5,5,254.4094488,93,0,0.503040417
2025-09-12 00:00:00\r\n',58.4,4,332.1456693,93,0,0.000248828
2025-09-12 00:15:00\r\n',58.4,6,330.7322835,93.5,0,0.000499788
2025-09-12 00:30:00\r\n',58.4,9,319.4251969,93.5,0,0.000771905
